Player,avg_gi,avg_missed_points,TPR,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Jan-Krzysztof Duda,154.5,0.33,2462,53.1,7,3.5,158.2,0.28,2718,234,3,4,10.39,9.19,0.28,110.47,-0.16,0.3,0.36,159.1,151.1,2,1.5,2.33,84.4,0.08,12204.32
Andrey Esipenko,149.5,0.44,2489,33.82,12,5.5,160,0.26,2651,490,6,6,5.61,22.51,0.62,90.52,-0.43,0.77,0.12,138.1,161,2.5,3,5.34,506.87,0.39,8193.17
Alexander Grischuk,152,0.51,2547,23.41,11,5.5,158.1,0.42,2696,473,6,5,7.26,11.09,0.52,38.98,-0.3,0.49,0.52,154.4,149.1,3.5,2,5.59,123,0.27,1519.59
Richard G Pert,153.1,0.59,2542,59.08,7,6,158.2,0.45,2447,252,3,4,14.44,9.8,0.68,115.81,-0.24,1.02,0.27,145.5,158.8,3,3,4.14,95.97,0.46,13411.48
Rhys Cumming,145.2,0.6,2093,21.4,11,5,141.6,0.52,2223,449,5,6,16.42,16.99,0.48,84.45,-0.67,0.57,0.63,141.9,148,2,3,6.6,288.73,0.23,7131.47
Or Bronstein,150.8,0.62,2557,49.62,9,7.5,158.1,0.48,2345,333,5,4,12.71,12.57,0.58,114.19,-0.37,0.69,0.54,151.4,149.9,5,2.5,5.57,158.02,0.33,13039.89
Rauf Mamedov,146.8,0.62,2518,52.38,6,2.5,153.7,0.46,2617,256,3,3,20.09,19.09,0.61,87.79,-0.58,0.91,0.34,136.4,157.1,0.5,2,3.74,364.48,0.37,7707.63
Alexey Sarana,153,0.63,2637,9.42,7,4.5,160.1,0.48,2603,312,4,3,8.63,17.15,0.64,5.33,-0.25,0.88,0.29,147.5,160.3,2.5,2,4.38,294.22,0.4,28.4
Rasmus Svane,150.4,0.64,2627,63.92,9,5.5,146.2,0.47,2616,372,4,5,13.24,11.26,0.63,108.95,-0.39,0.61,0.67,153.8,147.7,2.5,3,5.8,126.71,0.39,11870.91
Richard Rapport,150.2,0.68,2744,21.66,12,8,155.9,0.44,2709,538,5,7,11.2,19.27,0.65,33.43,-0.4,0.55,0.77,154.2,147.3,4,4,8.13,371.26,0.43,1117.83
Matthias Bluebaum,145.6,0.68,2438,14,7,3.5,157.7,0.45,2596,348,4,3,7.64,20.11,0.73,11.54,-0.65,0.34,1.15,154.8,133.4,2,1.5,4.78,404.43,0.53,133.25
Quang Liem Le,150.3,0.69,2703,11.11,9,6.5,158.3,0.4,2645,470,3,6,9.2,15.26,0.68,7.18,-0.39,0.95,0.55,146.5,152.2,2,4.5,6.18,232.78,0.46,51.5
Andrei Volokitin,140.8,0.7,2345,15.45,6,2,142.5,0.52,2568,265,2,4,12.76,21.12,0.66,11.37,-0.91,0.83,0.63,140.5,140.9,0.5,1.5,4.17,445.87,0.43,129.25
Anish Giri,151.8,0.71,2650,12.06,11,8,154.7,0.72,2688,485,6,5,11.11,13.2,0.52,5.74,-0.31,0.67,0.77,150.6,153.2,4,4,7.85,174.24,0.27,32.95
Yifan Hou,147.4,0.72,2460,19.9,7,5.5,157.6,0.57,2539,258,3,4,10.76,20.85,0.73,27.9,-0.55,0.85,0.62,150.2,145.2,2.5,3,5.06,434.87,0.54,778.61
Read Samadov,146.6,0.72,2473,30.3,10,4.5,155.5,0.66,2464,458,5,5,12.84,15.9,0.68,56.38,-0.59,0.84,0.6,144.4,148.8,2,2.5,7.22,252.82,0.46,3178.58
Maxime Vachier-Lagrave,147.6,0.73,2653,4.13,10,6,160,0.45,2735,462,4,6,9.64,25.1,0.69,22.69,-0.54,0.97,0.56,143.3,150.5,3,3,7.27,630.11,0.47,514.77
Alua Nurman,143.9,0.73,2234,40.84,8,5,150.2,0.68,2250,482,4,4,11.92,16.35,0.54,120.95,-0.74,0.78,0.68,147,140.8,3,2,5.85,267.39,0.29,14627.96
Javokhir Sindarov,152.2,0.74,2798,11.8,12,9.5,158.7,0.68,2668,515,7,5,11.66,15.37,0.74,7.42,-0.29,0.89,0.52,149.9,155.6,6.5,3,8.85,236.15,0.55,55.01
Jose Eduardo Martinez Alcantara,145.4,0.75,2541,-0.23,12,5.5,157,0.66,2665,538,6,6,6.57,23.71,0.76,47.31,-0.66,0.5,1,154.2,136.6,3.5,2,8.99,562.02,0.57,2238.17
Irina Bulmaga,146.1,0.77,2496,124.15,9,6.5,158.2,0.49,2372,374,5,4,19.9,17.52,0.77,175.9,-0.62,0.56,1.04,154.8,135.2,4.5,2,6.97,306.98,0.59,30940.53
Jingyao Tin,143.2,0.77,2555,30.94,11,7,158.6,0.51,2485,556,5,6,11.64,35.25,1.01,52.85,-0.77,0.39,1.09,159.8,129.4,4,3,8.49,1242.73,1.03,2792.85
Aldiyar Ansat,136.2,0.77,2342,59.53,8,3,128.4,0.9,2383,404,4,4,19.6,20.15,0.65,95.37,-1.15,0.91,0.63,133,139.4,1,2,6.14,406.14,0.42,9095.48
Daniel Dardha,146.6,0.78,2547,15.32,12,7.5,156.2,0.78,2582,519,6,6,10.66,18.85,0.66,13.23,-0.59,0.57,0.99,150.8,142.4,3.5,4,9.33,355.23,0.43,175.08
Hikaru Nakamura,150.5,0.79,2747,14.7,11,8.5,159.1,0.63,2734,570,7,4,8.67,16.13,0.79,39.27,-0.38,0.81,0.75,149.9,151.5,5.5,3,8.67,260.24,0.62,1542.31
Boris Gelfand,147.2,0.79,2594,21.81,9,5,146.9,0.71,2622,414,5,4,14.23,11.67,0.44,18.11,-0.56,0.92,0.62,146.3,148.4,3,2,7.07,136.2,0.19,327.95
Frederick Waldhausen Gordon,146.7,0.79,2160,28.2,10,7,153.8,0.76,2153,504,5,5,15.74,15.5,0.68,43.58,-0.58,1.09,0.49,143.8,149.7,4.5,2.5,7.89,240.31,0.46,1899.19
Faustino Oro,143.6,0.8,2534,22.08,12,6,143.2,0.56,2457,650,7,5,14.57,18.87,0.66,29.15,-0.75,0.9,0.66,141.1,147.1,2.5,3.5,9.59,356.08,0.43,849.57
Viswanathan Anand,151.7,0.81,2799,14.91,7,5,145.4,1,2719,321,3,4,13.06,14.01,0.59,11.74,-0.31,0.99,0.67,150.4,152.6,2.5,2.5,5.66,196.18,0.35,137.83
Marius Fromm,147.4,0.81,2525,17.25,9,6.5,153.5,0.78,2320,411,5,4,14.55,15.66,0.57,12.82,-0.55,1.2,0.32,142.3,153.8,4,2.5,7.27,245.34,0.32,164.28
Santosh Gujrathi Vidit,146.7,0.82,2677,20.92,10,7.5,159,0.32,2650,496,5,5,12.23,28.2,1.12,34.09,-0.59,0.3,1.35,163,130.5,4.5,3,8.25,794.98,1.25,1162.21
Marc`Andria Maurizzi,142.1,0.82,2454,14.84,12,6.5,149.6,0.82,2472,450,6,6,15.71,21.46,0.59,114.43,-0.83,0.68,0.97,146.4,137.8,4,2.5,9.89,460.47,0.35,13093.33
Thomas E Rendle,141.4,0.82,2421,12.13,9,5.5,153.9,0.61,2412,323,5,4,12.28,22.07,0.84,6.66,-0.87,0.61,1.08,143.1,139.2,2.5,3,7.35,486.97,0.71,44.4
Levon Aronian,148.1,0.83,2694,11.87,11,7,158.5,0.68,2746,572,5,6,6.91,19.24,0.71,10.82,-0.51,0.71,0.94,151,145.7,3.5,3.5,9.15,370.31,0.5,117.05
David Anton Guijarro,144.3,0.84,2594,61.54,12,6.5,156.4,0.66,2625,478,6,6,14.14,22.85,0.79,124.72,-0.71,0.68,0.99,147.4,141.3,3.5,3,10.02,522.02,0.62,15556.26
Jules Moussard,145.6,0.85,2601,28.65,12,7.5,158.2,0.58,2609,615,6,6,9.13,25.71,0.91,66.33,-0.65,0.76,0.94,145.8,145.3,4,3.5,10.19,661.26,0.83,4399.37
Shamsiddin Vokhidov,142.7,0.85,2509,42.81,10,5.5,158.1,0.82,2519,450,7,3,11.2,26.26,0.62,66.95,-0.8,0.81,0.95,145.3,136.5,4.5,1,8.54,689.56,0.39,4481.92
V Pranav,148.5,0.86,2922,41.1,8,7.5,158.8,0.44,2537,428,4,4,10.14,28.46,1.13,92.16,-0.49,0.64,1.08,156.2,140.8,3.5,4,6.89,810.05,1.27,8494.07
Samuel Sevian,148.4,0.86,2753,21,11,8,158,0.96,2636,579,6,5,13.67,19.19,0.85,37.47,-0.49,0.92,0.8,145,152.5,4,4,9.5,368.19,0.73,1404.09
Aaravamudhan Balaji,145.9,0.86,2327,34.13,10,7.5,156.5,0.5,2278,504,4,6,11.69,32.24,1.11,72.85,-0.63,0.92,0.83,140.5,149.5,3,4.5,8.65,1039.63,1.23,5307.16
Jose Carlos Ibarra Jerez,143,0.86,2256,35.04,12,6,148,0.64,2541,583,7,5,12.72,24.16,0.86,71.47,-0.78,0.73,1.04,149.3,134.2,4.5,1.5,10.27,583.47,0.74,5108.39
Andrew Hong,142.2,0.86,2596,67.39,12,8,156,0.6,2547,553,6,6,10.74,28.68,0.92,145.51,-0.82,0.58,1.15,154.5,130,5,3,10.37,822.7,0.86,21172.34
Li Wu,142.1,0.86,2388,18.08,10,5,146,0.72,2270,408,5,5,19.62,17.68,0.64,10.05,-0.84,0.7,1.02,147.7,136.5,3,2,8.61,312.6,0.4,101.07
Khagan Ahmad,138.2,0.87,2428,63.71,12,5.5,145,0.94,2301,590,5,7,11.5,22.33,0.6,171.37,-1.04,0.56,1.09,151,129.1,4,1.5,10.41,498.78,0.36,29368.03
Gawain C B Maroroa Jones,139,0.88,2512,37.43,8,3,145.9,0.73,2635,393,2,6,12.59,34.56,0.9,63.7,-1,0.36,1.06,155,133.7,1,2,7.08,1194.31,0.82,4057.48
Nigel D Short,137.3,0.88,2461,18.22,12,7,157.6,0.62,2533,621,6,6,10.24,31.69,1.02,17.95,-1.09,0.53,1.22,143.5,131.2,4.5,2.5,10.51,1004.55,1.05,322.33
Miaoyi Lu,141.4,0.89,2380,69.45,12,6,143.4,0.82,2240,547,7,5,18.76,14.52,0.58,123.98,-0.87,0.91,0.85,139,144.7,3,3,10.62,210.7,0.34,15371.89
Rebekka Schuster,142.9,0.9,1368,217.97,7,4,147.7,0.7,1874,227,5,2,278.59,22.67,0.4,209.57,-0.79,0.87,0.98,144.2,139.9,3,1,6.29,513.76,0.16,43917.52
Gleb Dudin,140.8,0.9,2615,30.33,12,8.5,158.9,0.61,2454,598,6,6,11.36,31.56,0.89,55.56,-0.9,0.85,0.95,141.4,140.2,4.5,4,10.81,996.15,0.79,3087.44
Ulziikhishig Khishigbat,136.7,0.9,1993,91.09,11,6,144.7,0.71,2027,501,6,5,19.2,29,0.81,115.93,-1.12,1.28,0.45,123,153.1,3,3,9.94,841.22,0.65,13440.88
Supratit Banerjee,133.9,0.9,2222,30.97,8,3.5,141.6,1.06,2067,434,3,5,11,27.64,0.75,55.49,-1.28,0.99,0.84,124.6,139.5,1,2.5,7.16,764.16,0.56,3079.47
Mikkel Vinh Loftgaard,132.4,0.9,2197,82.12,10,3.5,127.3,0.98,2160,375,5,5,23.72,20.26,0.46,129.4,-1.36,0.84,0.95,136.6,128.2,2.5,1,8.96,410.51,0.21,16744.01
Ivan Saric,141.3,0.91,2530,82.24,11,5.5,147.5,0.59,2597,454,5,6,15.42,29.55,0.83,166.56,-0.88,0.96,0.86,132,149,1.5,4,9.96,873.26,0.7,27741.95
Viktor Erdos,140.3,0.91,2456,13.84,12,6.5,150.2,0.76,2525,535,5,7,9.79,22.73,0.88,17.62,-0.93,1.16,0.74,132.9,145.6,2.5,4,10.97,516.78,0.77,310.49
Ilja Schneider,139,0.91,2384,65.1,9,3.5,136.1,0.96,2429,374,4,5,22.67,11.15,0.52,103.4,-1,0.97,0.87,137.2,140.4,1,2.5,8.23,124.28,0.27,10691.81
Chen Zhu,135.9,0.92,2135,117.17,9,4.5,136,0.6,2312,372,4,5,30.57,19.75,0.64,153.5,-1.17,0.8,1.01,143,130.2,2.5,2,8.25,389.9,0.41,23561.2
Bella Khotenashvili,144.1,0.93,2532,41.2,12,10.5,153,0.88,2349,557,5,7,14.93,18.07,0.8,92.3,-0.73,1.26,0.7,134.6,150.8,4.5,6,11.15,326.53,0.64,8518.68
Simon K Williams,137.4,0.93,2226,37.85,10,3.5,138.6,0.74,2497,390,3,7,24.57,22.93,0.62,49.64,-1.09,1.6,0.64,123.1,143.5,1.5,2,9.3,525.64,0.38,2463.84
Dmitrij Kollars,147.8,0.94,2531,47.83,8,5.5,152.8,0.81,2553,391,4,4,13.2,12.93,0.56,99.05,-0.53,0.78,1.11,151.6,144,3,2.5,7.56,167.23,0.32,9811.29
Haik M. Martirosyan,146.4,0.94,2593,10.47,8,5,155.1,0.98,2610,423,5,3,9.75,20.61,0.8,7.39,-0.6,0.97,0.87,150.2,140.1,4,1,7.49,424.57,0.65,54.64
Meruert Kamalidenova,143.3,0.94,2390,52.51,9,6,141.8,0.81,2380,408,4,5,19.13,16.75,0.56,108.51,-0.77,0.8,1.05,149.6,138.3,3,3,8.44,280.54,0.31,11774.94
Ruslan Momunaliev,139.1,0.94,2415,17.15,7,3,131.2,0.95,2070,332,3,4,15.76,17.7,0.32,6.11,-1,0.88,0.99,146.1,133.8,2,1,6.6,313.21,0.1,37.28
Jose Fernando Cuenca Jimenez,135.2,0.94,2517,39.66,12,8,158.2,0.33,2459,556,5,7,17.31,32.93,1.1,67.03,-1.2,0.46,1.28,148.9,125.5,3.5,4.5,11.27,1084.23,1.2,4493.66
Stanley Badacsonyi,133,0.94,2156,69.8,8,2,132,0.91,2316,332,4,4,21.42,20.7,0.58,92.51,-1.32,0.84,1.05,142.5,123.5,2,0,7.56,428.49,0.33,8557.46
Yahli Sokolovsky,144.5,0.96,2468,21.52,10,6.5,149.3,1.12,2367,453,5,5,15.9,14.77,0.48,14.22,-0.7,1.09,0.83,135.1,153.9,2,4.5,9.57,218.04,0.23,202.11
Erigaisi Arjun,144.4,0.96,2704,52.27,11,6,146.2,0.7,2708,539,6,5,16.03,21.82,0.68,86.14,-0.71,0.62,1.38,156.5,130,4.5,1.5,10.61,476.23,0.46,7420.31
Denis Makhnev,142.5,0.96,2575,27.35,12,7.5,149,0.64,2531,615,6,6,13.54,23.15,0.89,44.79,-0.81,1,0.93,147.1,137.9,5,2.5,11.57,535.71,0.79,2005.78
Nodirbek Yakubboev,140,0.96,2569,28.31,8,4.5,135.7,0.78,2547,456,4,4,15.52,18.58,0.82,42.26,-0.95,1.46,0.46,132.7,147.2,3,1.5,7.67,345.07,0.67,1785.75
Alexander Moiseenko,138.2,0.96,2395,89.43,7,3,143,1.13,2533,352,4,3,14.49,22.41,0.83,142.38,-1.04,1.18,0.66,132.5,145.7,2,1,6.69,502.1,0.68,20271.63
Mikkel Manosri Jacobsen,135.9,0.96,2443,60.88,10,5,146.6,0.58,2169,491,5,5,21.56,36,1.04,81.9,-1.17,1.37,0.55,124.2,147.5,3,2,9.61,1295.76,1.07,6708.13
Alireza Firouzja,146.7,0.97,2858,24.12,11,8.5,161.4,0.62,2753,608,6,5,10.34,27.99,0.93,37.73,-0.58,0.94,1.01,150,142.9,5,3.5,10.71,783.4,0.87,1423.81
Dagur Ragnarsson,142.9,0.97,2130,67.22,11,6.5,151.6,0.88,2350,537,5,6,15.48,18.58,0.61,118.89,-0.79,0.7,1.19,156.5,131.6,4,2.5,10.65,345.22,0.38,14134.07
Edgar Mamedov,135.4,0.98,2380,30.28,10,4.5,128.2,0.98,2324,552,4,6,17.98,24.52,0.73,72.12,-1.19,0.94,1,134,136.4,1,3.5,9.78,601.14,0.54,5200.65
Nihal Sarin,145.5,1,2733,50.92,12,8.5,149.6,0.88,2676,658,6,6,12.96,22.92,0.62,92.96,-0.65,0.94,1.06,150.4,140.6,4.5,4,12,525.22,0.39,8641.35
Rustam Kasimdzhanov,143.3,1,2681,17.09,6,4,147,0.91,2641,232,1,5,16.63,19.59,0.82,10.2,-0.77,1.08,0.98,142.4,143.5,0.5,3.5,5.99,383.89,0.67,104.05
Ganzorig Amartuvshin,143,1,2291,38.06,11,6,144.3,1.12,2356,509,6,5,18.05,14.73,0.53,75.28,-0.78,0.95,1.06,146.7,138.6,4,2,11.02,217,0.28,5666.7
Yagiz Kaan Erdogmus,144.6,1.01,2391,28.1,12,8.5,144,0.8,2384,497,5,7,15.87,15.5,0.8,42.58,-0.7,0.74,1.21,149.8,140.8,3,5.5,12.13,240.13,0.63,1813.19
Wesley So,145,1.02,2662,44.37,9,6,144.5,0.78,2714,468,4,5,14.25,15.77,0.67,64.67,-0.68,1.32,0.78,139.8,149.1,3,3,9.18,248.73,0.45,4182.62
Michael Adams,141.8,1.02,2598,40.69,9,5.5,145.2,1.01,2628,438,4,5,13.29,18.03,0.84,74.28,-0.85,0.85,1.16,147.8,136.9,3,2.5,9.22,325.03,0.71,5517.97
Rinat Jumabayev,140.7,1.02,2687,10.86,10,7,152,0.7,2524,731,5,5,9.54,26.4,0.97,5.3,-0.91,1.17,0.88,136.1,145.4,3.5,3.5,10.23,696.95,0.93,28.12
Sugar Gan-Erdene,139.8,1.02,2257,26.9,12,6,147.6,0.66,2433,713,6,6,12.18,24.04,0.85,76,-0.95,0.97,1.08,138.6,141.1,3.5,2.5,12.27,577.73,0.73,5775.84
Ketevan Arakhamia-Grant,135,1.02,2072,16.11,11,5.5,135.5,0.68,2267,624,7,4,18.34,22.72,0.79,7.7,-1.21,1.17,0.77,133.9,137,4,1.5,11.26,516.01,0.63,59.29
Fy Antenaina Rakotomaharo,134.3,1.02,2337,34.92,11,4.5,136.4,0.94,2404,447,6,5,14.19,23.82,0.49,60.62,-1.25,0.96,1.09,133.8,134.9,2.5,2,11.19,567.59,0.24,3675.03
Shakhriyar Mamedyarov,146.3,1.03,2473,71.55,12,8.5,144,0.98,2701,517,5,7,18.13,13.97,0.53,140.28,-0.61,0.97,1.08,151,142.9,4,4.5,12.37,195.17,0.28,19677.76
Atharvaa_P Tayade,145.6,1.03,2135,92.22,12,11,152.8,0.97,1952,565,6,6,37.17,17.32,0.66,109.04,-0.65,0.96,1.1,147.8,143.4,6,5,12.37,300.06,0.44,11890.1
Victor Bologan,133.2,1.03,2358,19.92,12,6,135,0.86,2501,521,6,6,19.2,25.58,0.74,14.49,-1.31,1.28,0.77,125.6,140.8,2,4,12.32,654.57,0.55,209.96
Sereenen Gan-Od,132.1,1.03,2217,85.12,11,5,139.6,0.92,2294,635,5,6,22.03,32.53,0.84,126.69,-1.37,0.75,1.26,149.8,117.4,3,2,11.29,1058.23,0.71,16051.12
Amilal Munkhdalai,138.9,1.04,2426,73.88,11,6,144.7,0.92,2341,641,5,6,18.26,23.72,0.72,103.82,-1.01,1.1,0.99,133.1,143.7,2.5,3.5,11.41,562.41,0.53,10778.36
Volodar Murzin,142.8,1.06,2686,48.45,8,5.5,147.3,0.75,2637,361,5,3,14.28,25.44,0.92,96.35,-0.8,0.93,1.29,151.1,129,4,1.5,8.51,647.15,0.84,9283.63
Roman Shogdzhiev,139,1.06,2495,18.94,8,5,146.2,1.17,2405,373,4,4,14.56,24.29,0.8,15.76,-1,1.34,0.77,137.4,140.7,3.5,1.5,8.47,590.01,0.64,248.23
Yuliia Osmak,137.7,1.06,2393,14.9,10,7,153.4,0.66,2343,526,5,5,12.36,30.35,1.15,8.95,-1.07,0.89,1.22,141.5,134,3.5,3.5,10.55,920.97,1.32,80.11
Frederik Svane,139.5,1.07,2546,23.51,8,4.5,152.9,0.97,2476,444,4,4,12.76,26.85,0.88,75.25,-0.97,0.92,1.21,146.6,132.4,3,1.5,8.55,720.73,0.78,5662.34
Pentala Harikrishna,137.3,1.07,2523,28.82,9,3.5,140.1,1.07,2634,514,4,5,15.6,20.46,0.72,47.32,-1.09,0.78,1.3,143.4,132.4,1.5,2,9.6,418.49,0.51,2239
Valery Atlas,138.8,1.08,2359,85.57,10,6.5,144.2,1.16,2419,553,5,5,15.13,19.8,0.72,123.39,-1.01,0.69,1.46,147.6,130.1,3,3.5,10.75,392.17,0.52,15224.84
Bat-Erdene Mungunzul,135.4,1.08,2358,12.96,12,8,143,0.66,2285,628,6,6,18.09,25.37,0.86,24.63,-1.2,1.33,0.84,129.8,141,4,4,12.99,643.52,0.74,606.54
Nurgyul Salimova,131.4,1.08,2265,22.49,10,3.5,130,1.01,2332,438,5,5,21.67,21.45,0.64,11.06,-1.41,0.71,1.46,142,120.9,2,1.5,10.84,460.1,0.4,122.39
Changjie Zhang,120.6,1.08,1484,87.54,12,1,125.6,0.96,1676,525,6,6,42.56,21.24,0.49,96.72,-1.99,0.9,1.27,124.5,116.8,0,1,13.02,451.02,0.24,9354.33
Leinier Dominguez Perez,138.1,1.09,2658,34.74,8,5,153.6,0.58,2708,358,3,5,9.76,34.02,1.31,148.29,-1.05,1.95,0.57,113,153.1,1.5,3.5,8.7,1157.6,1.72,21989.74
Matthew J Wadsworth,130.1,1.09,2332,12.5,11,4.5,132.3,0.78,2367,507,5,6,18,25.24,0.87,21.48,-1.48,0.69,1.42,141.7,120.4,3,1.5,12,637.07,0.75,461.2
Theo Phulpin,129.3,1.09,1719,123.54,12,6,125.6,0.93,1754,643,6,6,81.02,33.68,1.01,143.81,-1.53,0.69,1.48,141.7,116.8,3.5,2.5,13.04,1134.43,1.02,20681.31
Teodora Injac,129.3,1.09,2499,13.27,6,4.5,158.4,0.34,2309,301,3,3,11.44,54.88,1.52,10.14,-1.52,2.05,0.12,99,159.6,1.5,3,6.52,3012.09,2.31,102.72
Killian Delaney,128.8,1.09,2124,37.48,11,4,123.1,1.19,2177,508,6,5,24.04,22.92,0.73,58.96,-1.55,1.09,1.09,130.2,127.1,2.5,1.5,12,525.4,0.53,3476.68
Jonas Buhl Bjerre,143.3,1.1,2179,-6.95,10,7.5,154.2,1.02,2546,506,5,5,9.57,26.46,0.94,55.07,-0.77,1.82,0.37,125.4,161.2,3.5,4,10.96,700,0.88,3032.24
Nitzan Steinberg,135,1.1,2464,41.57,10,5.5,142.2,0.9,2516,449,4,6,20.72,27.47,0.97,73.1,-1.22,0.64,1.41,145.2,128.1,2.5,3,11.02,754.73,0.94,5343.89
Zhandos Agmanov,132.5,1.1,2426,55.48,10,4.5,140.1,1,2388,458,7,3,15.06,33.73,1,95.33,-1.35,0.97,1.4,139.4,116.4,4,0.5,11.01,1137.8,1,9087.88
Anna Muzychuk,132,1.1,2363,17.78,6,3,139.6,1.08,2409,322,3,3,15.21,31.34,0.96,12.75,-1.38,1.65,0.56,121.3,142.7,2,1,6.63,981.95,0.93,162.48
Makgatle_Cordeliah Goitsemodimo,137.9,1.11,1417,313.79,9,1,138.1,1.05,0,298,4,5,345.87,11.12,0.5,194.98,-1.06,1.04,1.16,143,133.8,1,0,9.95,123.59,0.25,38018.54
Vincent Keymer,137.8,1.11,2635,60.9,11,6,152.4,0.74,2649,534,5,6,15.68,35.67,0.97,94.69,-1.07,0.94,1.26,146.1,130.9,3,3,12.25,1272.62,0.94,8965.67
Erzhan Zhakshylykov,137.2,1.11,2106,18.84,10,5.5,138,1.24,2235,474,5,5,16.22,19.73,0.55,9.39,-1.1,1.06,1.16,133.7,140.7,1.5,4,11.12,389.4,0.3,88.16
Stavroula Tsolakidou,132.2,1.11,2309,21,12,5.5,132,1.29,2394,521,6,6,19.1,23.84,0.75,20.94,-1.36,1.18,1.03,130.5,134,3,2.5,13.3,568.22,0.56,438.28
Jonas Eilenberg,128.7,1.11,1937,63.37,7,2,136,0.65,2279,302,2,5,20.35,43.43,1.29,94.83,-1.56,2.64,0.5,81.2,147.7,0.5,1.5,7.76,1886.12,1.66,8992.87
David Muradyan,144.6,1.13,1921,61.85,11,6,145.6,0.87,0,492,6,5,12.61,16.53,0.9,134.28,-0.7,1.46,0.75,140,150.3,4,2,12.48,273.32,0.81,18030.27
Nilufarkhon Imomkuzieva,134.6,1.13,1845,79.34,12,8,150.6,0.96,1943,610,7,5,28.41,28.44,0.69,118.1,-1.24,0.95,1.38,146.2,118.5,5.5,2.5,13.55,808.59,0.47,13947.9
Nikita Vitiugov,139.7,1.14,2648,30.56,11,6.5,154.9,1.02,2590,493,8,3,14.88,33.72,1.25,40.98,-0.96,0.88,1.81,147,120.5,5.5,1,12.5,1136.88,1.57,1679.43
Mikey J Watson,138.2,1.14,1445,95.47,11,7,157.6,0.73,1914,525,6,5,14.3,32.73,1.24,258.51,-1.04,1.44,0.77,134,143.3,5,2,12.49,1071.07,1.54,66829.56
David Navara,134.4,1.14,2471,32.01,12,6,139.2,0.82,2671,575,6,6,18.92,28.68,0.83,56.58,-1.25,1.21,1.07,130.4,138.3,2.5,3.5,13.69,822.54,0.69,3201.74
Jan Klimkowski,133.9,1.14,2394,55.36,12,6,135.6,1.06,2416,707,6,6,17.63,19.6,0.66,89.35,-1.27,0.85,1.43,142.8,125.1,3.5,2.5,13.63,384.09,0.44,7984.24
Dinara Wagner,131,1.14,2354,30.32,10,5,137,1.08,2372,460,4,6,19.16,32.9,0.93,44.19,-1.44,0.76,1.39,145,121.6,2.5,2.5,11.42,1082.4,0.87,1952.76
Marcus R Harvey,130.9,1.14,2390,79.59,11,4,129.6,0.95,2460,552,6,5,27.39,21.95,0.82,99.92,-1.44,1.4,0.83,121.4,142.3,0.5,3.5,12.55,481.7,0.67,9984.3
Gennadij Sagalchik,137.8,1.15,1991,38.62,6,0.5,140.6,0.92,0,164,3,3,31.94,9.89,0.58,21.91,-1.07,1.31,0.99,133.4,142.2,0,0.5,6.9,97.86,0.33,480.16
Divya Deshmukh,136.6,1.15,2415,31.03,12,8,153.1,0.93,2386,581,6,6,14.08,29.03,0.89,61.41,-1.13,0.91,1.4,148.3,124.9,5,3,13.85,842.7,0.79,3770.57
Islam Aiten,131.8,1.15,1828,114.6,12,8,143.4,1,2037,590,7,5,24.28,33.09,0.86,147.45,-1.39,1.01,1.34,135,127.2,4.5,3.5,13.8,1094.66,0.74,21740.6
Audrey Kueh,127.4,1.15,1974,20.42,10,3.5,132.8,1.11,2098,431,5,5,20.8,20.03,0.64,6.83,-1.63,1.52,0.78,114.4,140.5,1.5,2,11.51,401.23,0.41,46.67
Bohdan Lobkin,127.1,1.15,1764,102.58,12,7,147.4,0.72,1902,590,6,6,16.29,41.94,1.11,240.37,-1.64,0.86,1.44,136.3,117.8,4.5,2.5,13.83,1759.2,1.24,57777.67
Yossi Raiko,118.4,1.15,1578,25.42,6,1,123.4,0.92,1911,238,2,4,26.3,32.47,1.05,15.47,-2.11,0.6,1.42,135.2,110,0,1,6.89,1054.32,1.1,239.41
Adam Kozak,137.4,1.16,2446,38.72,11,6.5,150.8,0.94,2577,521,5,6,9.94,31.42,1.17,81.98,-1.09,0.51,1.71,158.8,119.6,4.5,2,12.81,987.53,1.38,6720.71
Ameet K Ghasi,136.7,1.16,2571,83.6,11,6,149,0.66,2483,554,6,5,17.18,26.78,0.93,118.94,-1.12,1.25,1.06,134.3,139.7,3.5,2.5,12.8,717.31,0.87,14145.61
Alexei Shirov,132.4,1.16,2521,21.01,10,5,122,1.24,2707,537,5,5,16.87,25.37,0.85,14.32,-1.35,1.2,1.13,135.1,129.8,3,2,11.64,643.81,0.72,205.08
Ritvars Reimanis,124.4,1.16,2208,104.66,11,2.5,136.2,1.04,2331,514,5,6,37.5,29.71,0.83,114.71,-1.79,0.66,1.57,141.7,109.9,1.5,1,12.73,882.48,0.69,13158.82
Sumiya Bilguun,137.6,1.17,2444,44.66,12,8,140.7,0.85,2438,642,6,6,21.24,20.35,0.81,84.44,-1.08,1.28,1.06,134.7,140.4,3.5,4.5,14.07,414.04,0.66,7130.33
